"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"C 84","Caldwell","GLOCL","13.7741","-51.3743","CEN","7.6","","9.0","9.0","","NGC 5286"
"C 85","Caldwell","OPNCL","8.6882","-53.0500","VEL","2.5","","50.0","50.0","Omicron Vel Cluster","IC 2391"
"C 86","Caldwell","GLOCL","17.6784","-53.6743","ARA","5.17","","26.0","26.0","","NGC 6397"
"C 87","Caldwell","GLOCL","3.2045","-55.2162","HOR","8.63","","7.0","7.0","","NGC 1261"
"C 88","Caldwell","OPNCL","15.0915","-55.6078","CIR","7.9","","10.0","10.0","","NGC 5823"
"C 89","Caldwell","OPNCL","16.3155","-57.8922","NOR","5.4","","12.0","12.0","S Normae Cluster","NGC 6087"
"C 90","Caldwell","PLNNB","9.3571","-58.3113","CAR","10.3","","0.2","0.2","","NGC 2867"
"C 91","Caldwell","OPNCL","11.0928","-58.7036","CAR","3.0","","55.0","55.0","Pincushion Cluster, Wishing Well Cluster, Black Arrow Cluster, Football Cluster","NGC 3532"
"C 92","Caldwell","BRTNB","10.7506","-59.6999","CAR","6.2","","120.0","120.0","Eta Carinae Nebula","NGC 3372"
"C 93","Caldwell","GLOCL","19.1811","-59.9846","PAV","5.4","","20.0","20.0","Great Peacock Globular","NGC 6752"
"C 94","Caldwell","OPNCL","12.8942","-60.3686","CRU","4.2","","10.0","10.0","Jewel Box, Kappa Crucis Cluster","NGC 4755"
"C 95","Caldwell","OPNCL","16.0526","-60.4497","TRA","5.1","","12.0","12.0","","NGC 6025"
"C 96","Caldwell","OPNCL","7.9668","-60.7767","CAR","3.8","","30.0","30.0","Southern Beehive, Sprinter","NGC 2516"
"C 97","Caldwell","OPNCL","11.6037","-61.6117","CEN","5.3","","12.0","12.0","","NGC 3766"
"C 98","Caldwell","OPNCL","12.7053","-62.9933","CRU","6.9","","5.0","5.0","","NGC 4609"
"C 99","Caldwell","DRKNB","12.8833","-63.0000","CRU","","","400.0","300.0","Coal Sack Nebula",""
"C 100","Caldwell","OPNCL","11.6389","-63.3728","CEN","4.5","","15.0","15.0","Running Chicken Nebula","IC 2944"
"C 101","Caldwell","GALXY","19.1628","-63.8575","PAV","8.25","","16.0","10.0","Pavo Galaxy","NGC 6744"
"C 102","Caldwell","OPNCL","10.7160","-64.3942","CAR","50","","173.9","173.9","Southern Pleiades","IC 2602"
"C 103","Caldwell","BRTNB","5.6450","-69.1000","DOR","7.25","","40.0","25.0","Tarantula Nebula (LMC)","NGC 2070"
"C 104","Caldwell","GLOCL","1.0540","-70.8488","TUC","6.58","","13.0","13.0","","NGC 362"
"C 105","Caldwell","GLOCL","12.9928","-70.8765","MUS","7.3","","14.0","14.0","","NGC 4833"
"C 106","Caldwell","GLOCL","0.4015","-72.0814","TUC","4.09","","43.8","43.8","47 Tucanae","NGC 104"
"C 107","Caldwell","GLOCL","16.4300","-72.2022","APS","9.3","","11.0","11.0","","NGC 6101"
"C 108","Caldwell","GLOCL","12.4293","-72.6591","MUS","9.85","","19.0","19.0","","NGC 4372"
"C 109","Caldwell","PLNNB","10.1558","-80.8585","CHA","","","0.6","0.6","","NGC 3195"
