Object,Catalogue,Type,RA,Dec,Const,Mag,Subr,Size_max,Size_min,Common,Other
NGC 4535,NGC,,,,,,,,,"Lost Galaxy,McLeish's Object",
NGC 4567,NGC,,,,,,,,,Siamese Twins,
NGC 4594,NGC,,,,,,,,,Sombrero Galaxy,
NGC 4616,NGC,,,,,,,,,Centaurus Chain,
NGC 4631,NGC,,,,,,,,,"Herring Galaxy (Nebula),Whale Galaxy",
NGC 4656,NGC,,,,,,,,,Crowbar Galaxy,
NGC 4666,NGC,,,,,,,,,Superwind-Galaxy,
NGC 4676,NGC,,,,,,,,,Mice,
NGC 4755,NGC,,,,,,,,,Jewel Box,
NGC 4774,NGC,,,,,,,,,Kidney Bean Galaxy,
NGC 4826,NGC,,,,,,,,,"Black Eye Galaxy,Sleeping Beauty Galaxy",
NGC 5055,NGC,,,,,,,,,Sunflower galaxy,
NGC 5128,NGC,,,,,,,,,Hamburger Galaxy,
NGC 5139,NGC,,,,,,,,,Omega Centauri,
NGC 5189,NGC,,,,,,,,,Spiral Planetary Nebula,
NGC 5194,NGC,,,,,,,,,"Rosse's Nebula (Galaxy),Question Mark, Whirlpool Galaxy",
NGC 5216,NGC,,,,,,,,,Keenan's System,
NGC 5236,NGC,,,,,,,,,Southern Pinwheel Galaxy,
NGC 5457,NGC,,,,,,,,,Pinwheel Galaxy,
NGC 5866,NGC,,,,,,,,,Spindle Galaxy,
NGC 5907,NGC,,,,,,,,,Splinter Galaxy,
NGC 6027,NGC,,,,,,,,,Seyfert's Sextet,
NGC 6169,NGC,,,,,,,,,Mu Normae Cluster,
NGC 6205,NGC,,,,,,,,,Hercules Globular Cluster,
NGC 6210,NGC,,,,,,,,,Turtle Planetary Nebula,
NGC 6231,NGC,,,,,,,,,Table of Scorpius,
NGC 6302,NGC,,,,,,,,,Bug Nebula,
NGC 6309,NGC,,,,,,,,,Box Nebula,
NGC 6334,NGC,,,,,,,,,Cat's Paw Nebula,
NGC 6337,NGC,,,,,,,,,Cheerio Nebula,
NGC 6357,NGC,,,,,,,,,"Lobster Nebula,War and Peace Nebula",
NGC 6369,NGC,,,,,,,,,Little Ghost Nebula,
NGC 6405,NGC,,,,,,,,,Butterfly Cluster,
NGC 6445,NGC,,,,,,,,,"Crescent Nebula,Little Gem",
NGC 6451,NGC,,,,,,,,,Tom Thumb Cluster,
NGC 6475,NGC,,,,,,,,,Ptolemy's Cluster,
NGC 6514,NGC,,,,,,,,,Trifid Nebula,
NGC 6523,NGC,,,,,,,,,"Dragon Nebula,Hourglass Nebula,Lagoon Nebula",
NGC 6537,NGC,,,,,,,,,Red Spider Nebula,
NGC 6543,NGC,,,,,,,,,Cat Eye Nebula,
NGC 6572,NGC,,,,,,,,,Blue Racquetball PN,
NGC 6603,NGC,,,,,,,,,"Delle Caustiche,Milky Way Patch,Sagittarius Star Cloud",
NGC 6618,NGC,,,,,,,,,"Checkmark Nebula,Horseshoe Nebula,Lobster Nebula,Omega Nebula,Swan Nebula",
NGC 6705,NGC,,,,,,,,,"Wild Duck Cluster,Scutum Salt-and-Pepper,M 11,Cr 391,Mel 213",
NGC 6720,NGC,,,,,,,,,Ring Nebula,
NGC 6741,NGC,,,,,,,,,Phantom Streak Nebula,
NGC 6751,NGC,,,,,,,,,Dandelion Puffball Nebula,
NGC 6752,NGC,,,,,,,,,Pavo Globular,
NGC 6781,NGC,,,,,,,,,Snowball Nebula,
NGC 6811,NGC,,,,,,,,,Hole in a Cluster,
NGC 6818,NGC,,,,,,,,,Little Gem,
NGC 6822,NGC,,,,,,,,,Barnard's Galaxy,
NGC 6826,NGC,,,,,,,,,Blinking Planetary,
NGC 6853,NGC,,,,,,,,,"Apple Core Nebula,Diablo Nebula,Double-Headed Shot",
NGC 6885,NGC,,,,,,,,,20 Vulpeculae Cluster,
NGC 6888,NGC,,,,,,,,,Crescent Nebula,
NGC 6894,NGC,,,,,,,,,Little Ring Nebula,
NGC 6905,NGC,,,,,,,,,Blue Flash Nebula,
NGC 6913,NGC,,,,,,,,,Cooling Tower,
NGC 6960,NGC,,,,,,,,,"Cirrus Nebula,Cygnus Loop,Filamentary Nebula,Lace-work Nebula,Veil Nebula",
NGC 6979,NGC,,,,,,,,,"Fleming's Triangular Nebula,Pickering's Triangular Nebula",
NGC 6992,NGC,,,,,,,,,Network Nebula,
NGC 6994,NGC,ASTER,20.982,-11.367,AQR,,,,,,M 73
NGC 7000,NGC,,,,,,,,,North America Nebula,
NGC 7008,NGC,,,,,,,,,Fetus Nebula,
NGC 7009,NGC,,,,,,,,,Saturn Nebula,
NGC 7088,NGC,,,,,,,,,Baxendall's Nebula,
NGC 7129,NGC,,,,,,,,,Small Cluster Nebula,
NGC 7252,NGC,,,,,,,,,Atom For Peace Galaxy,
NGC 7293,NGC,,,,,,,,,"Helix Nebula,Sunflower Nebula",
NGC 7317,NGC,,,,,,,,,Stephan's Quintet,
NGC 7380,NGC,,,,,,,,,Wizard Nebula,
NGC 7552,NGC,,,,,,,,,Grus Quartet,
NGC 7635,NGC,,,,,,,,,Bubble Nebula,
NGC 7654,NGC,,,,,,,,,Cassiopeia Salt-and-Pepper,
NGC 7662,NGC,,,,,,,,,Blue Snowball,
Ou 4,Extra,BRTNB,21.1967,59.95,CEP,,,72,19,Squid Nebula,
