"Object","Catalogue","Type","RA","Dec","Const","Mag","Subr","Size_max","Size_min","Common","Other"
"Abell 21","Abell","PLNNB","7.483","13.25","GEM","11.3","16.4","10","6","Medusa Nebula","Sh 2-274, PK 205+14.1"
"Abell 31","Abell","PLNNB","8.903","8.917","CNC","12.2","","16.8","15.6","","Sh 2-290, PK 219+31.1"
"Abell 33","Abell","PLNNB","9.652","-2.8","HYA","13.4","","5","4.5","Diamond Ring Nebula","PNG 238.0+34.8, PK 238+34.1, ARO 65"
"Abell 35","Abell","PLNNB","12.893","-22.867","HYA","12.0","18.9","12.8","12","","Sh 2-313, PK 303+40.1"
"Abell 85","Abell","SNREM","23.987778","62.44944","CAS","","","30","30","Medulla Nebula","CTB-1, LBN 576"
"Abell 194","Abell","GALCL","1.425","-1.5","PSC","13.9","","56","56","",""
"Abell 262","Abell","GALCL","1.878","36.15","AND","13.0","","100.8","100.8","",""
"Abell 347","Abell","GALCL","2.418","41.867","AND","13.0","","56","56","",""
"Abell 400","Abell","GALCL","2.96","6.033","CET","13.9","","56","56","",""
"Abell 407","Abell","GALCL","3.03","35.85","PER","14.7","","39.2","39.2","",""
"Abell 426","Abell","GALCL","3.328","41.5","PER","13.0","","190.4","190.4","","Perseus I"
"Abell 539","Abell","GALCL","5.278","6.467","ORI","14.4","","16.8","16.8","",""
"Abell 548","Abell","GALCL","5.785","-25.633","LEP","13.7","","56","56","",""
"Abell 569","Abell","GALCL","7.153","48.633","LYN","13.8","","25.8","25.8","",""
"Abell 576","Abell","GALCL","7.357","55.733","LYN","14.4","","28","28","",""
"Abell 779","Abell","GALCL","9.332","33.767","LYN","13.8","","50.4","50.4","",""
"Abell 1060","Abell","GALCL","10.613","-27.533","HYA","12.7","","168","168","","Hydra I"
"Abell 1185","Abell","GALCL","11.177","28.767","UMA","14.0","","28","28","","Arp 105"
"Abell 1213","Abell","GALCL","11.273","29.283","UMA","14.5","","22.4","22.4","",""
"Abell 1228","Abell","GALCL","11.358","34.333","UMA","13.8","","50.4","50.4","",""
"Abell 1314","Abell","GALCL","11.58","49.05","UMA","13.9","","28","28","",""
"Abell 1367","Abell","GALCL","11.742","19.833","LEO","14.0","","100.8","100.8","",""
"Abell 1377","Abell","GALCL","11.785","55.733","UMA","15.0","","20.2","20.2","","Ursa Major I"
"Abell 1656","Abell","GALCL","12.997","27.983","COM","13.5","","224","224","","Coma I"
"Abell 1736","Abell","GALCL","13.447","-27.1","HYA","14.8","","39.2","39.2","",""
"Abell 2065","Abell","GALCL","15.368","27.717","CRB","15.6","","22.4","22.4","",""
"Abell 2147","Abell","GALCL","16.037","15.883","HER","13.8","","39.2","39.2","",""
"Abell 2151","Abell","GALCL","16.085","17.717","HER","13.8","","56","56","","Hercules Galxy Cl"
"Abell 2152","Abell","GALCL","16.088","16.45","HER","13.8","","37","37","",""
"Abell 2162","Abell","GALCL","16.208","29.533","CRB","13.7","","56","56","",""
"Abell 2197","Abell","GALCL","16.462","40.917","HER","14.0","","89.6","89.6","",""
"Abell 2199","Abell","GALCL","16.477","39.517","HER","13.0","","89.6","89.6","",""
"Abell 2634","Abell","GALCL","23.638","27.017","PEG","13.8","","22.4","22.4","",""
"Abell 2666","Abell","GALCL","23.848","27.133","PEG","13.8","","78.4","78.4","",""
"Arp 2","Arp","GLOCL","19.48","-30.35","SGR","13.6","15.1","2.3","2.2","",""
"Arp 103","Arp","GALXY","16.825","45.467","HER","15.2","","0.9","0.8","","Zwicky's triplet"
"Arp 148","Arp","GALXY","11.065","40.833","UMA","15.0","","0.3","0.2","","MCG +07-23-019"
"Arp 248","Arp","GALXY","11.777","-3.867","VIR","13.3","","3","3","","Wild's triplet"
"B 1","Barnard","DRKNB","3.548","31.167","PER","","","30","30","","LDN 1472, B 2"
"B 2","Barnard","DRKNB","3.558","32.317","PER","","","20","20","","LDN 1472, B 1"
"B 3","Barnard","DRKNB","3.667","31.983","PER","","","20","20","","LDN 1470, B 4"
"B 4","Barnard","DRKNB","3.733","31.8","PER","","","30","30","","LDN 1470, B 3"
"B 5","Barnard","DRKNB","3.8","32.883","PER","","","60","60","","LDN 1471"
"B 7","Barnard","DRKNB","4.292","28.567","TAU","","","600","600","","LDN 1495"
"B 8","Barnard","DRKNB","4.317","55.05","CAM","","","150","90","","LDN 1392"
"B 9","Barnard","DRKNB","4.3","55.05","CAM","","","150","30","",""
"B 10","Barnard","DRKNB","4.312","28.267","TAU","","","6","6","",""
"B 11","Barnard","DRKNB","4.443","55.033","CAM","","","3","3","",""
"B 12","Barnard","DRKNB","4.5","54.283","CAM","","","24","24","","LDN 1407"
"B 13","Barnard","DRKNB","4.522","54.883","CAM","","","11","11","",""
"B 15","Barnard","DRKNB","4.532","46.617","PER","","","13","13","",""
"B 16","Barnard","DRKNB","4.542","46.6","PER","","","5","5","",""
"B 17","Barnard","DRKNB","4.542","46.517","PER","","","5","5","",""
"B 18","Barnard","DRKNB","4.52","24.35","TAU","","","60","60","",""
"B 20","Barnard","DRKNB","4.618","50.967","PER","","","60","60","",""
"B 21","Barnard","DRKNB","4.632","55.35","CAM","","","10","10","",""
"B 22","Barnard","DRKNB","4.633","26.05","TAU","","","120","120","",""
"B 23","Barnard","DRKNB","4.675","29.867","TAU","","","5","5","",""
"B 24","Barnard","DRKNB","4.715","29.733","TAU","","","8","8","",""
"B 25","Barnard","DRKNB","4.868","46.0","AUR","","","8","8","",""
"B 26","Barnard","DRKNB","4.91","30.617","AUR","","","5","5","","LDN 1517"
"B 29","Barnard","DRKNB","5.103","31.733","AUR","","","10","10","","LDN 1523"
"B 30","Barnard","DRKNB","5.503","12.767","ORI","","","67","67","","LDN 1577"
"B 31","Barnard","DRKNB","5.533","12.767","ORI","","","30","30","","LDN 1582"
"B 32","Barnard","DRKNB","5.535","12.417","ORI","","","3","3","","LDN 1583, B 225"
"B 33","Barnard","DRKNB","5.683","-2.458","ORI","","","6.0","4.0","Horsehead Nebula","LDN 1630"
"B 34","Barnard","DRKNB","5.725","32.65","AUR","","","20","20","",""
"B 35","Barnard","DRKNB","5.758","9.05","ORI","","","20","10","","LDN 1594"
"B 36","Barnard","DRKNB","5.762","7.517","ORI","","","120","120","","LDN 1599"
"B 37","Barnard","DRKNB","6.533","10.467","MON","","","180","180","","LDN 1605"
"B 38","Barnard","DRKNB","6.562","11.067","MON","","","60","60","",""
"B 39","Barnard","DRKNB","6.633","10.317","MON","","","5","5","",""
"B 40","Barnard","DRKNB","16.245","-18.967","SCO","","","15","15","","LDN 1721"
"B 41","Barnard","DRKNB","16.372","-19.633","SCO","","","40","40","","LDN 1717"
"B 42","Barnard","DRKNB","16.425","-23.433","OPH","","","20","6","","LDN 1696"
"B 43","Barnard","DRKNB","16.505","-19.783","OPH","","","120","40","","LDN 1752"
"B 44","Barnard","DRKNB","16.675","-24.067","OPH","","","280","40","","LDN 1712"
"B 44a","Barnard","DRKNB","16.747","-40.383","SCO","","","5","5","","SL 18"
"B 45","Barnard","DRKNB","16.775","-21.6","OPH","","","120","20","","LDN 1744"
"B 46","Barnard","DRKNB","16.953","-22.733","OPH","","","12","12","","LDN 1775"
"B 47","Barnard","DRKNB","16.995","-22.65","OPH","","","15","15","","LDN 1792"
"B 48","Barnard","DRKNB","17.017","-40.783","SCO","","","40","15","","SL 20"
"B 50","Barnard","DRKNB","17.05","-34.4","SCO","","","15","15","","SL 30"
"B 51","Barnard","DRKNB","17.08","-22.267","OPH","","","20","20","","LDN 15"
"B 53","Barnard","DRKNB","17.102","-33.25","SCO","","","30","10","","SL 32"
"B 55","Barnard","DRKNB","17.125","-32.0","SCO","","","16","16","","LDN 1682"
"B 56","Barnard","DRKNB","17.145","-32.1","SCO","","","3","3","","LDN 1685"
"B 57","Barnard","DRKNB","17.138","-23.667","OPH","","","5","5","","LDN 11"
"B 58","Barnard","DRKNB","17.187","-40.417","SCO","","","30","30","","SL 23"
"B 59","Barnard","DRKNB","17.19","-27.5","OPH","","","60","60","","LDN 1746"
"B 60","Barnard","DRKNB","17.197","-22.45","OPH","","","13","13","","LDN 17"
"B 61","Barnard","DRKNB","17.253","-20.483","OPH","","","10","4","","LDN 111"
"B 62","Barnard","DRKNB","17.27","-20.883","OPH","","","19","19","","LDN 100"
"B 63","Barnard","DRKNB","17.275","-21.483","OPH","","","100","20","","LDN 99"
"B 64","Barnard","DRKNB","17.287","-18.483","OPH","","","20","20","","LDN 173"
"B 65","Barnard","DRKNB","17.327","-26.7","OPH","","","12","12","","LDN 1772"
"B 66","Barnard","DRKNB","17.332","-26.883","OPH","","","6","6","","LDN 1773"
"B 67","Barnard","DRKNB","17.348","-26.85","OPH","","","6","6","","LDN 1768"
"B 67a","Barnard","DRKNB","17.375","-21.883","OPH","","","13","13","","LDN 102"
"B 68","Barnard","DRKNB","17.377","-23.783","OPH","","","4","4","","LDN 57"
"B 69","Barnard","DRKNB","17.382","-23.917","OPH","","","4","4","","LDN 55"
"B 70","Barnard","DRKNB","17.392","-24.033","OPH","","","4","4","","LDN 54"
"B 72","Barnard","DRKNB","17.392","-23.633","OPH","","","28","14","","LDN 66"
"B 74","Barnard","DRKNB","17.42","-24.2","OPH","","","15","10","","LDN 81"
"B 75","Barnard","DRKNB","17.422","-22.467","OPH","","","110","5","","LDN 112"
"B 76","Barnard","DRKNB","17.417","-24.4","OPH","","","5.0","3.0","","LDN 93, B 86"
"B 77","Barnard","DRKNB","17.467","-23.367","OPH","","","100","60","","LDN 69"
"B 78","Barnard","DRKNB","17.55","-25.6","OPH","","","200","140","","LDN 42"
"B 79","Barnard","DRKNB","17.658","-19.783","OPH","","","50","30","","LDN 216"
"B 83a","Barnard","DRKNB","17.755","-20.0","SGR","","","4","4","","LDN 233"
"B 84","Barnard","DRKNB","17.775","-20.183","SGR","","","30","15","","LDN 235"
"B 84a","Barnard","DRKNB","17.958","-17.667","SGR","","","16","16","","LDN 302"
"B 85","Barnard","DRKNB","18.043","-23.033","SGR","","","7.0","5.0","",""
"B 86","Barnard","DRKNB","18.05","-27.867","SGR","","","4","3.5","","LDN 93, B 76"
"B 87","Barnard","DRKNB","18.072","-32.5","SGR","","","12","12","","LDN 1771"
"B 88","Barnard","DRKNB","18.063","-24.383","SGR","","","2","0.5","",""
"B 89","Barnard","DRKNB","18.083","-24.35","SGR","","","0.5","0.5","",""
"B 90","Barnard","DRKNB","18.17","-28.317","SGR","","","3","1","","LDN 227"
"B 91","Barnard","DRKNB","18.167","-23.65","SGR","","","5","2","",""
"B 92","Barnard","DRKNB","18.258","-18.233","SGR","","","15","9","","LDN 323"
"B 93","Barnard","DRKNB","18.282","-18.067","SGR","","","12","2","","LDN 327"
"B 95","Barnard","DRKNB","18.427","-11.75","SCT","","","30","30","","LDN 406"
"B 97","Barnard","DRKNB","18.44","-10.3","SCT","","","50","50","","LDN 435"
"B 98","Barnard","DRKNB","18.555","-26.05","SGR","","","0.3","0.3","",""
"B 100","Barnard","DRKNB","18.545","-9.133","SCT","","","40","15","","LDN 443"
"B 101","Barnard","DRKNB","18.545","-8.8","SCT","","","13","13","",""
"B 103","Barnard","DRKNB","18.653","-6.667","SCT","","","4","4","","LDN 497"
"B 104","Barnard","DRKNB","18.788","-4.533","SCT","","","16","1","","LDN 532"
"B 108","Barnard","DRKNB","18.827","-6.317","SCT","","","3","3","","LDN 534, B 111"
"B 110","Barnard","DRKNB","18.837","-4.767","SCT","","","11","10","","LDN 530"
"B 111","Barnard","DRKNB","18.85","-5.0","SCT","","","120","120","","LDN 534, B 108"
"B 112","Barnard","DRKNB","18.853","-6.667","SCT","","","20","20","",""
"B 113","Barnard","DRKNB","18.857","-4.317","SCT","","","11","11","","LDN 548"
"B 114","Barnard","DRKNB","18.887","-7.1","SCT","","","6","6","","LDN 514"
"B 115","Barnard","DRKNB","18.888","-6.65","SCT","","","6","6","","LDN 518"
"B 117a","Barnard","DRKNB","18.895","-4.833","SCT","","","7","7","","LDN 509, B 118"
"B 118","Barnard","DRKNB","18.898","-7.45","SCT","","","2","2","","LDN 509, B 117a"
"B 119a","Barnard","DRKNB","18.91","-5.167","SCT","","","30","30","",""
"B 127","Barnard","DRKNB","19.027","-5.433","AQL","","","20","5","","LDN 544"
"B 129","Barnard","DRKNB","19.035","-5.3","AQL","","","5","5","","LDN 549"
"B 132","Barnard","DRKNB","19.068","-4.467","AQL","","","16","8","","LDN 567"
"B 133","Barnard","DRKNB","19.102","-6.833","AQL","","","10","3","","LDN 531"
"B 134","Barnard","DRKNB","19.115","-6.233","AQL","","","6","6","","LDN 543"
"B 135","Barnard","DRKNB","19.123","-3.917","AQL","","","50","30","","LDN 581"
"B 137","Barnard","DRKNB","19.26","0.217","AQL","","","180","10","","LDN 618"
"B 138","Barnard","DRKNB","19.267","0.217","AQL","","","180","180","","LDN 627"
"B 139","Barnard","DRKNB","19.302","-1.467","AQL","","","10","2","","LDN 619"
"B 142","Barnard","DRKNB","19.678","10.95","AQL","","","80","50","","LDN 688"
"B 143","Barnard","DRKNB","19.692","11.0","AQL","","","30","30","","LDN 694"
"B 144","Barnard","DRKNB","19.983","35.0","CYG","","","30","30","","LDN 857"
"B 145","Barnard","DRKNB","20.047","37.667","CYG","","","35","6","","LDN 865"
"B 146","Barnard","DRKNB","20.058","36.033","CYG","","","1","1","","LDN 860"
"B 148","Barnard","DRKNB","20.818","59.533","CEP","","","3","3","","LDN 1076"
"B 150","Barnard","DRKNB","20.843","60.3","CEP","","","60","3","Seahorse Nebula","LDN 1082"
"B 152","Barnard","DRKNB","21.242","61.75","CEP","","","15","3","",""
"B 157","Barnard","DRKNB","21.562","54.667","CYG","","","4","4","","LDN 1075"
"B 160","Barnard","DRKNB","21.633","56.233","CEP","","","30","15","","LDN 1088"
"B 161","Barnard","DRKNB","21.672","57.817","CEP","","","13","3","","LDN 1103"
"B 162","Barnard","DRKNB","21.685","56.317","CEP","","","13","2","","LDN 1095"
"B 163","Barnard","DRKNB","21.703","56.7","CEP","","","4","4","","LDN 1106"
"B 164","Barnard","DRKNB","21.775","51.067","CYG","","","12","6","","LDN 1070"
"B 168","Barnard","DRKNB","21.813","47.5","CYG","","","100","100","","LDN 1055"
"B 169","Barnard","DRKNB","21.982","58.75","CEP","","","80","80","","LDN 1151"
"B 170","Barnard","DRKNB","21.967","58.95","CEP","","","15","15","","LDN 1149"
"B 171","Barnard","DRKNB","22.022","58.867","CEP","","","19","19","","LDN 1153"
"B 173","Barnard","DRKNB","22.123","59.167","CEP","","","40","40","","LDN 1166"
"B 174","Barnard","DRKNB","22.122","59.067","CEP","","","19","19","","LDN 1164"
"B 202","Barnard","DRKNB","3.427","30.283","ARI","","","33","12","","LDN 1451"
"B 203","Barnard","DRKNB","3.43","30.783","ARI","","","10","5","","LDN 1448"
"B 204","Barnard","DRKNB","3.475","30.183","ARI","","","14","14","","LDN 1455"
"B 205","Barnard","DRKNB","3.467","31.1","PER","","","15","2","","LDN 1450, B 206"
"B 206","Barnard","DRKNB","3.485","30.183","ARI","","","5","5","","LDN 1450, B 205"
"B 225","Barnard","DRKNB","5.483","11.6","ORI","","","35","5","","LDN 1583, B 32"
"B 228","Barnard","DRKNB","15.758","-34.4","LUP","","","240","20","",""
"B 231","Barnard","DRKNB","16.625","-35.2","SCO","","","50","40","","SL 24"
"B 233","Barnard","DRKNB","16.735","-35.35","SCO","","","55","20","","SL 25"
"B 235","Barnard","DRKNB","16.777","-44.5","SCO","","","7","3","","SL 15"
"B 244","Barnard","DRKNB","17.168","-28.4","OPH","","","30","20","","LDN 1736"
"B 252","Barnard","DRKNB","17.253","-32.217","SCO","","","20","5","","LDN 1698"
"B 256","Barnard","DRKNB","17.372","-28.85","OPH","","","50","10","","LDN 1749"
"B 257","Barnard","DRKNB","17.367","-35.583","SCO","","","10","7","",""
"B 259","Barnard","DRKNB","17.367","-19.317","OPH","","","30","30","","LDN 177"
"B 263","Barnard","DRKNB","17.438","-42.633","SCO","","","30","30","","SL 22"
"B 268","Barnard","DRKNB","17.533","-20.533","OPH","","","120","120","","LDN 178"
"B 270","Barnard","DRKNB","17.545","-19.583","OPH","","","11","11","","LDN 185"
"B 276","Barnard","DRKNB","17.66","-19.817","OPH","","","45","45","","LDN 219"
"B 283","Barnard","DRKNB","17.855","-33.883","SCO","","","90","60","",""
"B 287","Barnard","DRKNB","17.907","-35.2","SCO","","","25","15","",""
"B 303","Barnard","DRKNB","18.153","-24.117","SGR","","","1","1","","LDN 210"
"B 312","Barnard","DRKNB","18.515","-15.133","SCT","","","100","100","","LDN 379"
"B 314","Barnard","DRKNB","18.628","-9.617","SCT","","","35","25","","LDN 445"
"B 318","Barnard","DRKNB","18.828","-6.4","SCT","","","90","2","",""
"B 334","Barnard","DRKNB","19.613","12.45","AQL","","","40","5","","LDN 701"
"B 335","Barnard","DRKNB","19.615","7.567","AQL","","","4","4","","LDN 663"
"B 336","Barnard","DRKNB","19.612","12.333","AQL","","","2","2","","LDN 702"
"B 337","Barnard","DRKNB","19.617","12.383","AQL","","","3","3","","LDN 705"
"B 343","Barnard","DRKNB","20.225","40.267","CYG","","","10","5","","LDN 880"
"B 346","Barnard","DRKNB","20.445","43.75","CYG","","","10","4","","LDN 906, B 348"
"B 347","Barnard","DRKNB","20.413","40.167","CYG","","","90","20","","LDN 889"
"B 348","Barnard","DRKNB","20.613","42.017","CYG","","","240","120","","LDN 906, B 346"
"B 350","Barnard","DRKNB","20.818","45.883","CYG","","","3","3","",""
"B 352","Barnard","DRKNB","20.952","45.367","CYG","","","20","10","",""
"B 361","Barnard","DRKNB","21.215","47.367","CYG","","","17","17","","LDN 970"
"B 362","Barnard","DRKNB","21.4","50.167","CYG","","","15","8","","LDN 1017"
"B 364","Barnard","DRKNB","21.56","54.55","CYG","","","40","40","","LDN 1074"
"B 365","Barnard","DRKNB","21.582","56.717","CEP","","","22","3","","LDN 1090"
"B 367","Barnard","DRKNB","21.74","57.2","CEP","","","3","3","","LDN 1113"
"C 1","Caldwell","OPNCL","0.791","85.27","CEP","8.1","","17.7","14.0","Polarissima Cluster","NGC 188, OCL 309"
"C 2","Caldwell","PLNNB","0.217","72.522","CEP","11.89","7.3","0.8","0.67","Bow-Tie Nebula, Bow-Tie nebula, Bow Tie Nebula","NGC 40, PK 120+9.1"
"C 3","Caldwell","GALXY","12.278","69.463","DRA","9.77","24.58","23.5","6.85","","NGC 4236, UGC 7306"
"C 4","Caldwell","BRTNB","21.027","68.17","CEP","7.1","","10.0","8.0","Iris Nebula","NGC 7023, OCL 235"
"C 5","Caldwell","GALXY","3.78","68.096","CAM","12.0","24.85","19.77","18.79","Hidden Galaxy","IC 342, UGC 2847"
"C 6","Caldwell","PLNNB","17.976","66.633","DRA","9.01","5","0.9","0.27","Cat's Eye Nebula, Cat Eye Nebula","NGC 6543, PK 96+29.1"
"C 7","Caldwell","GALXY","7.614","65.603","CAM","8.43","23.48","19.95","10.07","","NGC 2403, UGC 3918"
"C 8","Caldwell","OPNCL","1.493","63.301","CAS","9.5","","9.0","4.0","","NGC 559, OCL 322"
"C 9","Caldwell","BRTNB","22.948","62.617","CEP","","","15","10","Cave Nebula","Sh 2-155, LBN 529"
"C 10","Caldwell","OPNCL","1.771","61.218","CAS","7.1","","16.0","6.0","","NGC 663, OCL 333"
"C 11","Caldwell","BRTNB","23.346","61.212","CAS","11.0","","15.0","8.0","Bubble Nebula","NGC 7635, LBN 549"
"C 12","Caldwell","GALXY","20.581","60.154","CYG","9.05","23.73","11.4","10.84","Fireworks Galaxy","NGC 6946, UGC 11597"
"C 13","Caldwell","OPNCL","1.326","58.291","CAS","6.4","","13.0","7.8","Dragonfly Cluster, E.T. Cluster, Owl Cluster, Phi Cassiopeiae Cluster","NGC 457, OCL 321"
"C 14","Caldwell","OPNCL","2.316","57.117","PER","3.7","","50.0","14.4","Double Cluster, h & chi Persei, Sword Handle, h Persei, h Persei Cluster, Perseus Double Cluster, C 14","NGC 869, OCL 350"
"C 15","Caldwell","PLNNB","19.747","50.525","CYG","9.44","6.9","0.42","0.40","Blinking Planetary","NGC 6826, PK 83+12.1"
"C 16","Caldwell","OPNCL","22.252","49.898","LAC","6.4","","21.0","15.0","","NGC 7243, OCL 221"
"C 17","Caldwell","GALXY","0.553","48.509","CAS","9.72","24.29","9.4","5.41","","NGC 147, UGC 326, DDO 3"
"C 18","Caldwell","GALXY","0.649","48.337","CAS","9.2","24.58","12.94","10.76","","NGC 185, UGC 396"
"C 19","Caldwell","CL+NB","21.891","47.267","CYG","7.2","","10.0","10.0","Cocoon Nebula","IC 5146, OCL 213"
"C 20","Caldwell","BRTNB","20.988","44.529","CYG","4.0","","120.0","30.0","North American Nebula, North America Nebula","NGC 7000, LBN 373"
"C 21","Caldwell","GALXY","12.47","44.094","CVN","9.64","21.1","4.66","2.71","","NGC 4449, UGC 7592"
"C 22","Caldwell","PLNNB","23.432","42.535","AND","8.3","5.6","0.28","0.23","Blue Snowball Nebula, Copeland's Blue Snowball, Blue Snowball","NGC 7662, PK 106-17.1"
"C 23","Caldwell","GALXY","2.376","42.349","AND","10.01","24.17","13.03","3.03","Silver Sliver Galaxy, Outer Limits Galaxy","NGC 891, UGC 1831"
"C 24","Caldwell","GALXY","3.33","41.512","PER","12.24","23.0","2.16","1.45","Perseus A","NGC 1275, 3C 84, UGC 2669"
"C 25","Caldwell","GLOCL","7.636","38.88","LYN","10.05","","4.5","4.1","Intergalactic Wanderer/Tramp","NGC 2419, GCL 12"
"C 26","Caldwell","GALXY","12.292","37.807","CVN","10.18","24.57","16.22","7.24","","NGC 4244, UGC 7322"
"C 27","Caldwell","BRTNB","20.202","38.355","CYG","10.0","","20.0","10.0","Crescent Nebula","NGC 6888, LBN 203"
"C 28","Caldwell","OPNCL","1.96","37.833","AND","5.7","","50.0","39.0","","NGC 752, OCL 363"
"C 29","Caldwell","GALXY","13.182","37.059","CVN","10.71","21.82","4.82","1.52","","NGC 5005, UGC 8256"
"C 30","Caldwell","GALXY","22.618","34.416","PEG","9.41","23.08","9.27","3.76","","NGC 7331, UGC 12113"
"C 31","Caldwell","BRTNB","5.275","34.356","AUR","10.0","","50.0","30.0","Flaming Star Nebula","IC 405, LBN 795"
"C 32","Caldwell","GALXY","12.702","32.541","CVN","9.24","22.44","14.45","2.2","Whale Galaxy, Herring Galaxy (Nebula)","NGC 4631, UGC 7865"
"C 33","Caldwell","SNREM","20.939","31.743","CYG","7.0","","60.0","8.0","East Veil Nebula, Eastern Veil, Network Nebula","NGC 6992, Ced 182B"
"C 34","Caldwell","SNREM","20.766","30.595","CYG","7.0","","210.0","160.0","West Veil Nebula, Western Veil, Witch's Broom Nebula, Veil Nebula, Filamentary Nebula, Cirrus Nebula, Cygnus Loop, Lace-work Nebula","NGC 6960, LBN 191"
"C 35","Caldwell","GALXY","13.002","27.977","COM","11.45","23.39","2.59","1.68","","NGC 4889, NGC 4884"
"C 36","Caldwell","GALXY","12.599","27.96","COM","9.92","23.48","10.57","4.82","","NGC 4559, UGC 7766"
"C 37","Caldwell","OPNCL","20.199","26.489","VUL","8.1","","7","7.0","20 Vulpeculae Cluster","NGC 6885, NGC 6882, OCL 152"
"C 38","Caldwell","GALXY","12.606","25.988","COM","10.86","23.75","16.75","2.89","Needle Galaxy","NGC 4565, UGC 7772"
"C 39","Caldwell","PLNNB","7.486","20.912","GEM","9.61","6.8","0.86","0.72","Clown Face Nebula, Lion Nebula, Eskimo Nebula, Clown Nebula, Clown Face N.","NGC 2392, PK 197+17.1"
"C 40","Caldwell","GALXY","11.334","18.357","LEO","10.98","","2.94","1.94","","NGC 3626, NGC 3632"
"C 41","Caldwell","OPNCL","4.448","15.867","TAU","1.0","","330.0","329.0","Hyades",""
"C 42","Caldwell","GLOCL","21.025","16.188","DEL","10.46","","4.2","2.8","","NGC 7006, GCL 119"
"C 43","Caldwell","GALXY","0.054","16.145","PEG","10.6","23.03","4.37","1.88","","NGC 7814, UGC 8"
"C 44","Caldwell","GALXY","23.082","12.323","PEG","11.09","23.04","3.65","2.72","Superman Galaxy","NGC 7479, UGC 12343"
"C 45","Caldwell","GALXY","13.626","8.885","BOO","9.97","22.25","4.07","2.38","","NGC 5248, UGC 8616"
"C 46","Caldwell","REFNB","6.653","8.744","MON","11.85","","2.0","1.0","Hubble's Variable Nebula, Hubble's Nebula","NGC 2261, LBN 920"
"C 47","Caldwell","GLOCL","20.57","7.404","DEL","9.75","","5.9","5.4","","NGC 6934, GCL 117"
"C 48","Caldwell","GALXY","9.172","7.038","CNC","10.24","22.88","4.25","3.36","","NGC 2775, UGC 4820"
"C 49","Caldwell","BRTNB","6.515","5.049","MON","5.5","","80.0","50.0","Rosette Nebula, Skull Nebula, Rosette A","NGC 2237, Sh 2-275, OCL 511"
"C 50","Caldwell","CL+NB","6.532","4.943","MON","4.8","","24","24.0","Satellite Cluster","NGC 2244, NGC 2239"
"C 51","Caldwell","GALXY","1.08","2.118","CET","9.54","25.0","18.32","17.14","Caldwell 51","IC 1613, UGC 668"
"C 52","Caldwell","GALXY","12.81","-5.801","VIR","9.37","23.36","7.14","4.16","","NGC 4697, MCG - 1-33- 10"
"C 53","Caldwell","GALXY","10.087","-7.719","SEX","9.09","23.02","7.1","3.01","Spindle Galaxy","NGC 3115, MCG - 1-26- 18"
"C 54","Caldwell","OPNCL","8.0","-10.77","MON","7.6","","10.8","7.0","","NGC 2506, OCL 593"
"C 55","Caldwell","PLNNB","21.07","-11.363","AQR","8.0","6.2","0.7","0.52","Saturn Nebula","NGC 7009, PK 37-34.1"
"C 56","Caldwell","PLNNB","0.784","-11.872","CET","10.9","13.5","4.08","3.50","Skull Nebula","NGC 246, PK 118-74.1"
"C 57","Caldwell","GALXY","19.749","-14.803","SGR","10.05","24.25","17.38","16.75","Barnard's Galaxy","NGC 6822, IC 4895"
"C 58","Caldwell","OPNCL","7.295","-15.641","CMA","7.2","","13.0","9.0","Caroline's Cluster","NGC 2360, OCL 589"
"C 59","Caldwell","PLNNB","10.413","-18.642","HYA","7.7","5.4","0.58","0.42","Ghost of Jupiter, Eye Nebula, Jupiter's Ghost Nebula, CBS Eye","NGC 3242, PK 261+32.1"
"C 60","Caldwell","GALXY","12.031","-18.868","CRV","10.2","22.94","5.42","3.78","The Antennae, Antennae Galaxies, Ring Tail Galaxies","NGC 4038, ESO 572-47"
"C 61","Caldwell","GALXY","12.032","-18.886","CRV","10.6","22.82","5.36","2.73","The Antennae, Antennae Galaxies","NGC 4039, ESO 572-48"
"C 62","Caldwell","GALXY","0.786","-20.76","CET","9.21","23.79","19.68","5.55","Claw Galaxy","NGC 247, ESO 540-22"
"C 63","Caldwell","PLNNB","22.494","-20.837","AQR","7.3","13.6","16.33","12.00","Helix Nebula, Sunflower Nebula","NGC 7293, PK 36-57.1"
"C 64","Caldwell","OPNCL","7.312","-24.954","CMA","4.1","","8.0","7.2","Tau CMa Cluster, Mexican Jumping Star","NGC 2362, OCL 633"
"C 65","Caldwell","GALXY","0.793","-25.288","SCL","11.11","22.42","26.79","4.58","Silver Coin Galaxy, Silver Dollar Galaxy, Sculptor Galaxy, Sculptor Filament, Silver Coin","NGC 253, ESO 474-29"
"C 66","Caldwell","GLOCL","14.66","-26.538","HYA","10.89","","3.6","3.3","","NGC 5694, GCL 29"
"C 67","Caldwell","GALXY","2.772","-30.275","FOR","9.76","23.63","10.57","6.44","","NGC 1097, ESO 416-20"
"C 68","Caldwell","BRTNB","19.032","-36.958","CRA","","","25.0","20.0","R CrA Nebula","NGC 6729, ESO 396-N*15"
"C 69","Caldwell","PLNNB","17.229","-37.103","SCO","9.6","9","0.74","0.50","Bug Nebula, Butterfly Nebula","NGC 6302, PK 349+1.1"
